[000:02:52;21] . 
[001:47:52;22] DID TONIGHT'S DEBATE CHANGE THE
[001:47:54;21] RACE? 
[001:47:55;21] WHAT ARE YOU HEARING, PETER? 
[001:47:56;26] >> IF DO YOU SEND A TEXT, THAT 
[001:47:58;25] IS NOT FOR PHONE CALLS BUT IF 
[001:48:00;25] YOU SEND A TEXT, WE WANT TO 
[001:48:01;24] HEAR FROM YOU 202-839-7089 IS 
[001:48:05;01] THE NUMBER.
[001:48:05;29] PLEASE INCLUDE YOUR FIRST NAME 
[001:48:07;25] AND YOUR CITY SO WE CAN 
[001:48:09;00] IDENTIFY YOU THAT WAY.
[001:48:10;27] NOW, THERE'S GOING TO BE ALL 
[001:48:11;27] SORTS OF FACT CHECKING GOING ON
[001:48:13;27] FOR THE PAST 90 MINUTES.
[001:48:15;00] BUT I WANT TO START WITH A 
[001:48:16;06] TWEET THAT WE FOUND HERE AT 
[001:48:19;03] C-SPAN ONE OF THE ISSUES THAT 
[001:48:21;29] CAME UP WAS GLOBAL WARMING AND 
[001:48:23;05] THIS WAS A TWEET THAT DONALD 
[001:48:24;08] TRUMP SENT ON NOVEMBER 6, 2012.
[001:48:28;02] THE CONCEPT OF GLOBAL WARMING 
[001:48:30;04] WAS CREATED BY AND FOR THE 
[001:48:32;00] CHINESE IN ORDER TO MAKE U.S. 
[001:48:34;06] MANUFACTURING NON-COMPETITIVE.
[001:48:37;00] AGAIN, THAT'S FROM 2012.
[001:48:39;06] WE CHECKED SOME MEMBERS OF 
[001:48:40;11] CONGRESS TO SEE WHAT THEY WERE 
[001:48:42;03] TWEETING OUT ABOUT THE DEBATES 
[001:48:43;08] SO WE'RE GOING TO SHOW YOU SOME
[001:48:45;07] OF THOSE.
[001:48:46;06] THIS IS REPRESENTATIVE JEFF 
[001:48:47;06] DUNCAN THE REPUBLICAN OF SOUTH
[001:48:49;09] CAROLINA.
[001:48:49;22] CLINTON SAID TRUMP WAS HIDING 
[001:48:51;11] SOMETHING.
[001:48:52;05] WHERE ARE THE E-MAILS, HILLARY?
[001:48:54;08] SECRET PRIVATE SERVER AND FIFTH
[001:48:56;06] AMENDMENT TESTIMONIES? 
[001:48:57;08] WHO IS HIDING SOMETHING? 
[001:48:58;15] AND SENATOR RAND PAUL LIVE 
[001:49:03;10] TWEETED THE DEBATE AS WELL.
[001:49:04;13] HOW CAN HILLARY SAY SHE IS FOR 
[001:49:06;13] JOBS WHEN SHE HAS STATED SHE 
[001:49:08;13] WILL PUT KENTUCKY COAL MINERS 
[001:49:09;23] OUT OF BUSINESS AND 
[001:49:12;15] REPRESENTATIVE EARL 
[001:49:15;13] BLOOMENHOUER OF OREGON LIVE 
[001:49:16;20] TWEETED THE DEBATE: I TOTALLY 
[001:49:19;16] BELIEVE THAT TRUMP DID NO 
[001:49:20;19] FORMAL DEBATE PREPARATION AND 
[001:49:22;16] FINALLY THIS TWEET FROM 
[001:49:24;17] CONGRESSMAN BREND AN BOYLE NEAR
[001:49:27;17] PHILADELPHIA: TO ALL PEOPLE OF 
[001:49:29;21] THE WORLD, I RESPECTFULLY 
[001:49:30;28] REQUEST YOU PLEASE NOT WATCH 
[001:49:31;26] THIS DEBATE.
[001:49:32;22] PLEASE LOOK AWAY.
[001:49:33;19] THANK YOU.
[001:49:35;18] >> AND I'LL BE READING SOME OF 
[001:49:37;28] YOUR TWEETS FROM THE GENERAL 
[001:49:39;19] PUBLIC.
[001:49:40;01] SO SEND THEM TO US AT C-SPAN 
[001:49:42;25] USE THE HASHTAG #DAYBREAKEBATES.
[001:49:48;23] HERE'S ONE: LESTER DID BETTER.
[001:49:53;27] AND LET'S HEAR FROM MIRIAM IN 
[001:49:55;29] EAT KNOWTOWN, NEW JERSEY WHO 
[001:49:57;28] SUPPORTED DONALD TRUMP.
[001:49:58;27] DID TONIGHT'S RACE CHANGE THE 
[001:50:01;28] RACE I THINK. 
[001:50:03;02] CALLER: I'M NOT SURE.
[001:50:04;00] I'M UNDECIDED BUT FIRMLY IN THE
[001:50:06;29] CAMP OF DONALD TRUMP.
[001:50:07;25] I THINK WE SAW THE DIFFERENCE 
[001:50:10;00] BETWEEN A SEASONED POLITICIAN 
[001:50:12;28] LIKE HILLARY WHO'S BEEN IN THE 
[001:50:15;10] POLITICS FOR ALL THESE YEARS 
[001:50:17;04] AND DONALD TRUMP WHO DIDN'T 
[001:50:18;08] SPEND ALL THE TIME PREPARING 
[001:50:19;12] BUT YET GOT HIS MESSAGE ACROSS.
[001:50:22;04] HOST: OKAY, THANKS.
[001:50:23;07] NEXT UP IS ELSA.
[001:50:25;07] ELSA IS WATCHING US IN NEW PORT
[001:50:28;06] RITCHIE, FLORIDA, ALSO A TRUMP 
[001:50:31;11] SUPPORTER.
[001:50:32;08] ELSA, YOU'RE ON C-SPAN.
[001:50:34;13] CALLER: YES, I FIRMLY AGREE 
[001:50:36;15] WITH EVERYTHING THAT TRUMP HAD 
[001:50:37;22] TO SAY.
[001:50:38;10] I DO AGREE WITH THAT LAST 
[001:50:42;16] CALLER.
[001:50:43;09] I DON'T THINK, YOU KNOW, HE HAS
[001:50:45;13] ALL THE EXPERIENCE OF HILLARY 
[001:50:46;14] BUT I DO THINK THAT HE HAS BEEN
[001:50:51;21] IN THE BACKGROUND INVOLVING 
[001:50:57;14] POLITICS.
[001:50:57;27] HE JUST HASN'T BEEN IN THE 
[001:50:58;24] FRONT LINES AND I THINK HE IS 
[001:51:05;18] VERY PREPARED TO BE PRESIDENT, 
[001:51:06;21] AND HE WILL MAKE THIS COUNTRY A
[001:51:11;21] BETTER PLACE AND PREPARE TO BE 
[001:51:16;26] A GREAT AMERICA AGAIN. 
[001:51:18;03] HOST: ELSA, THANKS SO MUCH.
[001:51:20;00] BLUE HONEY ON TWITTER SAYS 
[001:51:23;23] UNSATISFIED WITH LESTER HOLT'S 
[001:51:25;25] MODERATION CONSIDERING WHO HE 
[001:51:27;28] WAS UP AGAINST.
[001:51:29;00] DAVID IN PORT RICHIE, FLORIDA, 
[001:51:31;28] SUPPORTER OF SECRETARY CLINTON.
[001:51:33;02] DID TONIGHT CHANGE ANYTHING DO
[001:51:35;01] YOU THINK? 
[001:51:35;29] CALLER: I'M ACTUALLY SUPPORTING
[001:51:37;05] CLINTON ALL THE WAY BECAUSE I 
[001:51:38;06] FEEL THAT ACTUALLY TRUMP IS 
[001:51:39;29] GOING TO MAKE MORE ENEMIES THAN
[001:51:41;29] HE WILL ACTUALLY KEEP WORLD 
[001:51:44;02] PEACE.
[001:51:44;28] CALLER: AND MY NAME IS BONNIE 
[001:51:46;29] BLAKE.
[001:51:47;10] I BELIEVE HE HAS NO POLITICS 
[001:51:51;06] STENT.
[001:51:51;28] I BELIEVE SHE'S IN THE BSZ
[001:51:56;11] BUSINESS.
[001:51:56;24] THIS IS HER BUSINESS AND SHE 
[001:51:57;18] IS A FINE AND UPSTANDING 
[001:51:59;04] REPRESENTATION FOR OUR AMERICA.
[001:52:02;28] HOST: THANKS FOR YOUR CALL, 
[001:52:04;02] FOLKS.
[001:52:04;13] NEXT UP IS LUKE IN PHILADELPHIA
[001:52:07;00] SUPPORTING DONALD TRUMP.
[001:52:09;01] CALLER: HI.
[001:52:11;01] SO I AM A TRUMP SUPPORTER.
[001:52:13;02] I'VE BEEN A TRUMP SUPPORTER 
[001:52:14;08] THROUGH THE PRIMARIES.
[001:52:15;09] BUT I MUST SAY I'M A LITTLE 
[001:52:19;04] DISAPPOINTED IN TRUMP'S MESSAGE
[001:52:22;12] TONIGHT AND I THINK IT WAS 
[001:52:24;12] RIGHT THERE FOR THE TAKING 
[001:52:27;11] BECAUSE YOU COULD SEE HILLARY 
[001:52:28;17] CLINTON DRESSED IN RED HAS THE 
[001:52:30;15] BLOOD OF THE -- 
[001:52:31;10] HOST: ALL RIGHT, SIR, LET'S 
[001:52:32;16] MOVE ON TO ROCHELLE IN CAPITAL 
[001:52:37;18] HEIGHTS, MARYLAND SUPPORTING 
[001:52:39;19] HILLARY CLINTON. 
[001:52:40;06] CALLER: HI.
[001:52:41;13] [CHOPPY AUDIO] 
[001:52:43;17] HOST: APOLOGIES BUT YOUR PHONE 
[001:52:44;22] IS NOT TRANSMITTING WELL.
[001:52:46;17] PLEASE CALL US BACK.
[001:52:47;17] NEXT UP IS KERRY IN KENTUCKY.
[001:52:51;20] YOU'RE ON. 
[001:52:52;04] CALLER: YES.
[001:52:52;19] I WAS UNDECIDED UNTIL THIS 
[001:52:56;19] DEBATE IT'S OBVIOUS TO ME THAT
[001:52:59;23] TRUMP -- THAT DONALD TRUMP 
[001:53:02;19] REALLY IS -- HE DOESN'T HAVE 
[001:53:04;26] THE TEMPERAMENT.
[001:53:06;25] HE WAS SNIFFING ALL THE TIME.
[001:53:08;23] HE WAS YELLING ALL THE TIME.
[001:53:11;25] HE SEEMED EXTREMELY VOLATILE 
[001:53:14;24] AND I JUST DON'T BELIEVE THAT 
[001:53:18;24] HE HAS -- HE'D BE TOO CLOSE TO 
[001:53:20;28] THE NUCLEAR WEAPONS, IN MY 
[001:53:23;26] VIEW.
[001:53:25;26] HE DOESN'T SEEM TO BE ABLE TO 
[001:53:27;01] NEGOTIATE.
[001:53:27;26] HE DOESN'T SEEM TO BE ABLE TO 
[001:53:29;02] ANSWER THE QUESTIONS AND STAY 
[001:53:31;02] ON TRACK IN ANYTHING THAT HE'S 
[001:53:33;07] SAYING.
[001:53:33;27] THE MODERATOR HAD TO TELL HIM 
[001:53:36;29] REPEATEDLY THAT IS NOT THE 
[001:53:37;21] QUESTION.
[001:53:39;29] YOU HAVE TO NOT ANSWERED THE 
[001:53:40;22] QUESTION.
[001:53:42;04] THIS IS THE QUESTION.
[001:53:43;08] AND IF HIS MIND CAN'T STAY ON 
[001:53:46;13] THE QUESTION AND CAN ONLY BRAG 
[001:53:50;02] ABOUT WHAT ENDORSEMENTS HE'S 
[001:53:52;03] GOT AND HIS COMPANY IT SEEMS 
[001:53:54;08] LIKE HE'S MORE INTERESTED IN 
[001:53:56;06] HIS COMPANY AND HIS BUSINESS 
[001:53:59;11] THAN HE IS IN RUNNING THE 
[001:54:01;09] COUNTRY. 
[001:54:01;22] HOST: AND HAD YOU BEEN 
[001:54:03;04] UNDECIDED BEFORE THIS DEBATE? 
[001:54:04;10] CALLER: YES, I WAS.
[001:54:07;08] AND THERE'S NO WAY THAT I WOULD
[001:54:09;11] VOTE FOR THAT MAN, NOT AFTER 
[001:54:11;17] SEEING THIS DEBATE. 
[001:54:15;12] HOST: THANK YOU FOR THE CALL.
[001:54:17;08] PETER, WHAT DO YOU HAVE? 
[001:54:20;08] PETER: DURING THE 90 MINUTES 
[001:54:21;16] THEY WERE ON THE STAGE, WE LEFT
[001:54:23;08] THE TWITTER COUNTER ON HERE AND
[001:54:25;08] FOR THE HASHTAGS DEBATE AND 
[001:54:27;10] DEBATES 2016, OVER 10,000 
[001:54:29;13] TWEETS CAME INTO OUR FEED JUST 
[001:54:31;11] ON THOSE TWO SITES.
[001:54:33;11] BUT THERE WERE SOME OTHER 
[001:54:35;20] TWEETS WE WANTED TO SHARE WITH 
[001:54:37;14] YOU.
[001:54:37;24] THIS IS DARRUOUS MENSA.
[001:54:39;18] SOMEWHERE OUT THERE, A FACT 
[001:54:41;16] CHECKER JUST DECIDE OF A FIERCE
[001:54:44;16] EMPATHETIC REBOUND.
[001:54:45;04] WE'LL READ SOME MORE AFTER WE 
[001:54:47;18] LISTEN TO DONALD TRUMP IN THE 
[001:54:49;18] SPIN ROOM.
[001:54:54;19] DONALD TRUMP:  I ENJOYED THAT 
[001:54:55;28] AND I VERY MUCH ENJOYED 
[001:54:56;29] TONIGHT.
[001:54:57;11] YOU KNOW THAT.
[001:54:57;27] IT'S ABOUT MAKING AMERICA GREAT
[001:55:00;20] AGAIN AND I THINK WE'RE GOING 
[001:55:01;13] TO BE WELL ON OUR WAY TO DOING 
[001:55:02;23] IT, AND WE'VE SEEN THE VOTES 
[001:55:03;27] AND AS A MATTER OF FACT, THIS 
[001:55:06;25] MORNING, THE VOTES CAME OUT ON 
[001:55:09;23] YOUR SHOW.
[001:55:14;23] I THINK WE HAVE TO DO A LOT IN 
[001:55:15;26] OUR COUNTRY.
[001:55:16;10] AND YOU KNOW WHAT CAME UP TO ME
[001:55:19;23] MORE THAN ANYTHING ELSE, SHE 
[001:55:20;27] TALKS ABOUT ALL THE THINGS 
[001:55:21;19] SHE'S GOING TO DO.
[001:55:23;02] WHERE HAS SHE BEEN FOR 26 
[001:55:24;26] YEARS? 
[001:55:25;08] >> THANK YOU VERY MUCH.
[001:55:26;25] GOOD LUCK.
[001:55:32;28] >> I REALLY THINK IT'S ABOUT 
[001:55:36;02] MAKING AMERICA GREAT AGAIN.
[001:55:41;01] WORKING ON THINGS AND NOTHING 
[001:55:43;07] EVER GETS DONE.
[001:55:52;03] [INDISTINCT CHATTER] 
[001:56:37;18] [INDISTINCT CHATTER] 
[001:56:45;24] >> HOW MUCH HAS SHE SPENT ON 
[001:56:48;21] COMMERCIALS? 
[001:56:49;06] OVER $200 MILLION.
[001:56:54;24] >> ONE MORE QUESTION FROM THE 
[001:56:56;06] MEDIA, AS THE DEBATE ENDS AND 
[001:56:57;29] PEOPLE WERE TALKING ABOUT HOW 
[001:56:59;06] DID YOU AND HOW SHE DID.
[001:57:00;26] WHAT DO YOU THINK THE ROLE OF 
[001:57:01;19] THE MEDIA IS AT THIS POINT? 
[001:57:04;02] DONALD TRUMP:  I WISH THE 
[001:57:06;03] MEDIA -- I JUST WANT THEM TO BE
[001:57:08;00] FAIR.
[001:57:08;11] THAT INCLUDES YOU.
[001:57:22;02] [INDISTINCT CHATTER] 
[001:57:24;06] >> AND WE CONTINUE TO LOOK AT 
[001:57:26;06] YOUR E-MAILS TEXTS TWEETS AND
[001:57:28;08] PHONE CALLS.
[001:57:30;01] THIS IS A TEXT FROM DUANE IN 
[001:57:31;11] NORTH TEXAS.
[001:57:32;04] HE SAID ONE CANDIDATE DIDN'T 
[001:57:34;06] KNOW HIS MATERIAL WELL ENOUGH 
[001:57:36;09] AND THE OTHER THINKS VOTERS ARE
[001:57:38;02] STUPID.
[001:57:39;03] WHEN WILL THIRD PARTIES GET THE
[001:57:41;07] EARNED SPOT LIGHT AND, IN FACT
[001:57:43;06] JILL STEIN DR. JILL STEIN OF 
[001:57:46;13] THE GREEN PARTY WAS ESCORTED 
[001:57:49;08] OFF HOFSTRA UNIVERSITY CAMPUS 
[001:57:50;22] AHEAD OF THE DEBATE.
[001:57:53;08] WE HAD AN INTERVIEW WITH MS NBC
[001:57:55;10] AND DID NOT HAVE THE PROPER 
[001:57:57;09] CREDENTIALS SO THEY TOOK HER 
[001:57:58;13] OFF.
[001:57:59;08] A COUPLE OF MORE TWEETS THAT 
[001:58:00;01] HAVE COME IN.
[001:58:01;09] THIS IS ABBEY, LEAST ENVIED JOB
[001:58:03;15] IN AMERICA RIGHT NOW IS FACT 
[001:58:06;12] CHECKER.
[001:58:06;24] KATE SAYS, I HOPED THAT THE 
[001:58:08;16] TRUMPED UP TRICKLE-DOWN CATCH 
[001:58:11;13] PHRASE STICKS.
[001:58:12;14] THAT WAS MY FAVORITE PLAY ON 
[001:58:14;11] WORDS AND FINALLY, HERE IS 
[001:58:16;15] SENATOR COREY BOOKER.
[001:58:18;14] GLAD HRC IS CALLING TRUMP OUT 
[001:58:23;14] ON HIS DEGRADING COMMENTS ABOUT
[001:58:25;25] WOMEN.
[001:58:26;10] IT'S NOT ABOUT STAMINA BUT 
[001:58:31;16] DECENCY TO BE PRESIDENT. 
[001:58:32;18] HOST: LET'S GO BACK TO RENE.
[001:58:34;17] YOU'RE ON RENE.
[001:58:35;19] DID TONIGHT CHANGE ANYTHING? 
[001:58:36;23] CALLER: NO.
[001:58:37;16] WELL, YEAH, IT DID BECAUSE I 
[001:58:43;15] THINK THAT MY -- HE REALLY 
[001:58:48;18] WASN'T TALKING ABOUT TRYING TO 
[001:58:49;12] HELP US AMERICANS AND TRYING TO
[001:58:51;17] CHANGE THE COUNTRY AND HE WAS 
[001:58:55;24] TARGETED IN CHICAGO, ONLY 
[001:58:58;27] CHICAGO.
[001:59:00;25] HOST: THANK YOU FOR YOUR CALL.
[001:59:02;01] DONALD TRUMP IS CONTINUING TO 
[001:59:03;26] WORK THE SPIN ROOM.
[001:59:04;25] UNUSUAL FOR A CANDIDATE GOING 
[001:59:06;01] IN TO TALK DIRECTLY TO THE 
[001:59:07;05] MEDIA AFTER THE DEBATE.
[001:59:09;00] WE'RE GOING TO BE LISTENING TO 
[001:59:09;24] YOU AND NEXT IS A CALL FROM 
[001:59:14;27] DEIDRE WHO'S WATCHING US IN 
[001:59:18;00] BATAVIA, OHIO.
[001:59:18;15] A SUPPORTER OF DONALD TRUMP.
[001:59:20;04] DID TONIGHT CHANGE YOUR OPINION
[001:59:21;09] OF THE CANDIDATE OR THE 
[001:59:22;03] CAMPAIGN? 
[001:59:22;16] CALLER: I THINK WHAT IT DID FOR
[001:59:24;03] ME WAS CONFIRM MY DECISION WITH
[001:59:26;07] TRUMP.
[001:59:27;04] A LOT OF STUFF TONIGHT WAS 
[001:59:28;03] BASED ON FACTS WITH BOTH 
[001:59:32;04] CANDIDATES.
[001:59:32;18] I THINK THE ISSUE THAT NEEDS TO
[001:59:34;09] BE RESOLVED FOR THE WHOLE 
[001:59:36;09] ENTIRE WORLD IS THAT WE ARE 
[001:59:40;10] BECOMING VERY POOR MIDDLE 
[001:59:41;14] CLASS.
[001:59:42;09] EVEN OUR SCHOOLS ARE NOT 
[001:59:45;11] SUPPORTED.
[001:59:45;24] THEY'RE CHALLENGED WITH COMMON 
[001:59:47;12] CORE.
[001:59:47;23] WE HAVE THE HEART TO REBUILD 
[001:59:50;16] AMERICA
[001:59:54;00] AMERICA.
[001:59:54;15] HE HAS BEEN BULLYING HILLARY.
[001:59:55;21] HE IS NOT USING THE THINGS HE 
[001:59:57;23] COULD USE.
[001:59:58;15] HE'S NOT DEMEANING
[002:00:16;09] HE WILL BRING OUR JOBS BACK.
[002:00:24;05] I WANT EVERYBODY TO PUT YOUR
[002:00:24;25] TRUST AND FAITH IN THIS MAN
[002:00:27;16] BECAUSE HE IS FOR THE PEOPLE, BY
[002:00:28;08] THE PEOPLE.
[002:00:31;04] THAT HAS REALLY MADE ME KIND OF
[002:00:31;26] DISCUSS IT WITH HILLARY BECAUSE
[002:00:35;13] SHE HAS HAD SO MANY EXPERIENCES
[002:00:36;15] AND OPPORTUNITIES TO DO ALL THE
[002:00:40;03] THINGS SHE IS SAYING SHE CAN DO
[002:00:40;25] NOW.
[002:00:41;03] IT IS TOO LATE.
[002:00:43;03] WE NEED TO GET SOMEBODY IN THERE
[002:00:45;14] WHO CAN GET IT DONE.
[002:00:47;03] PENCE WILL HELP SUPPORT AMERICA
[002:00:48;23] AND I THANK YOU GUYS FOR
[002:00:51;17] LETTING ME BE PART OF THIS.
[002:00:53;06] I THANK YOU SO MUCH.
[002:00:56;16] >> THANK YOU DEIRDRE FOR
[002:00:59;15] WATCHING.
[002:01:00;07] UP NEXT IS A COMMENT FROM
[002:01:02;16] BRIDGET IN TALLAHASSEE.
[002:01:06;07] YOU ARE ON C-SPAN.
[002:01:06;22] WELCOME.
[002:01:07;02] >> I AM A REGISTERED DEMOCRAT.
[002:01:11;10] NOT NECESSARILY A VOTING
[002:01:11;28] DEMOCRAT.
[002:01:14;10] MY STATEMENT, OR MY OPINION, IS
[002:01:15;18] THAT THE MODERATOR WAS NOT AS
[002:01:21;22] STRONG AS HE SHOULD HAVE BEEN.
[002:01:22;13] THAT IS WHAT MY VIEW IS.
[002:01:24;12] CAN SOMEBODY COMMENT ON THAT?
[002:01:26;22] >> WELL, WHAT WOULD YOU HAVE
[002:01:29;02] LIKED TO SEE FROM HIM?
[002:01:32;14] >> MORE AGGRESSIVE, COMING
[002:01:35;26] IN SAAS THE MODERATOR.
[002:01:39;14] THEY MODERATOR IS SOMEBODY WHO
[002:01:42;14] WHEN THE CONVERSATION
[002:01:43;01] BETWEEN THE CANDIDATES IS GOING
[002:01:44;24] BACK AND FORTH THEN HE, AS A
[002:01:47;23] MODERATOR, SHOULD COME IN AND
[002:01:50;13] SAY, "OK LET'S STOP THIS AND
[002:01:54;28] LET'S GET TO THE ISSUES."
[002:01:57;26] I FEEL LIKE, HE WAS NOT DOING
[002:02:01;02] HIS JOB AS WELL AS HE SHOULD
[002:02:03;03] HAVE BEEN.
[002:02:03;14] >> THANK YOU, BRIDGET.
[002:02:07;15] UP NEXT IS DAN, IT WAS IN
[002:02:09;29] WATCHING US FROM GLADWIN
[002:02:15;19] MICHIGAN, AND HE IS SUPPORTING
[002:02:16;10] DONALD TRUMP.
[002:02:16;23] >> HOW CAN WE SUPPORT HILLARY
[002:02:19;06] CLINTON WHEN ALL SHE DOES IS
[002:02:19;27] SELL OUT OUR COUNTRY?
[002:02:21;00] DONALD TRUMP IS TRYING TO CLIMB
[002:02:25;03] HIS WAY TO THE TOP ONE HILLARY
[002:02:26;18] CLINTON HAS ALREADY BEEN ON THE
[002:02:27;10] DROP.
[002:02:28;18] SHE IS BACKED BY OUR PRESIDENT
[002:02:31;18] WHO HAS BEEN LYING AND CONNIVING
[002:02:32;10] AND DECEIVING OUR WHOLE COUNTRY
[002:02:33;02] THE WHOLE EIGHT YEARS HE HAS
[002:02:35;27] BEEN IN THERE.
[002:02:37;18] HOST: DAN, LET ME MOVE YOU TO
[002:02:40;07] THE DEBATE.
[002:02:42;19] WHAT WAS THE MOMENT FOR YOU THAT
[002:02:43;11] WAS THE BEST?
[002:02:43;24] CALLER: THE WHOLE THING ON
[002:02:47;29] DONALD TRUMP AND HILLARY
[002:02:48;17] CLINTON, YOU CAN SEE THE SMUG
[002:02:49;29] LOOK ON HER FACE, LIKE, "I'M
[002:02:53;01] GONNA WIN, I HAVE CONNECTIONS
[002:02:57;05] ALL OF THE WORLD AND I'M BLAH
[002:02:59;26] BLAH THIS."
[002:03:03;19] HOST: PEOPLE WROTE CLINTON
[002:03:10;20] LOOKED AT TRUMP LIKE A PRESCHOOL
[002:03:11;13] TEACHER WAITING FOR A DRUNK
[002:03:12;03] TODDLER TO FINALLY LIE DOWN FOR
[002:03:13;04] A NAP.
[002:03:13;23] >> THE DEBATE HAS NOW COME TO A
[002:03:16;14] CLOSE.
[002:03:16;23] MY OPINIONS REMAIN UNCHANGED.
[002:03:19;25] WHY DID I EVEN WATCH?
[002:03:22;25] HERE IS WHAT AMY HAS TO SAY.
[002:03:24;26] WELL, AT LEAST THIS DEBATE WAS
[002:03:26;08] INTERESTING AND LIVELY.
[002:03:27;26] MY EARS ONLY GLAZED OVER THREE
[002:03:30;14] TIMES.
[002:03:30;26] NANCY PUTS OUT UNSCIENTIFIC
[002:03:35;11] TIEM OME POLL 62%, THINK HILLARY
[002:03:40;14] WON.
[002:03:41;05] NEW YORK NBC HAS THIS TWEET.
[002:03:43;25] THEY MISSPELLED HILLARY'S NAME
[002:03:46;13] ON THE DEBATE 2016 TICKET.
[002:03:49;12] THEY ONLY USED ONE "L" IN HER
[002:03:53;04] FIRST NAME.
[002:03:55;23] HOST: UP NEXT, A SUPPORTER OF
[002:03:59;12] DONALD TRUMP.
[002:03:59;26] CALLER: I FEEL THAT HILLARY HAS
[002:04:03;26] BEEN IN POLITICS FOR 30 YEARS.
[002:04:10;26] SHE HAS BEEN SECRETARY OF STATE
[002:04:11;18] AND SENATOR.
[002:04:12;26] WHEN SHE FIRST WENT IN, SHE DID
[002:04:16;17] NOT KNOW ANYTHING, BUT SHE
[002:04:17;06] LEARNED WHEN SHE WENT ON.
[002:04:20;05] THE ONLY THING IS, AS SECRETARY
[002:04:21;03] OF STATE WHY DID SHE SEE FOUR
[002:04:24;05] AMERICANS KILLED AND NOT GO OVER
[002:04:27;10] THERE AND SEND HELP?
[002:04:30;26] EVERYBODY IS FORGETTING ABOUT
[002:04:31;17] LIBYA.
[002:04:31;26] SHE WAS IN CHARGE.
[002:04:33;08] AND WE WANT HER IN CHARGE OF
[002:04:36;15] OUR COUNTRY AFTER ALL THE
[002:04:37;27] AMERICANS DIED, SHE CRASHED HER
[002:04:38;27] E-MAILS, SHE GOT RID OF THEM?
[002:04:41;27] THIS IS THE PERSON WE ARE GOING
[002:04:42;19] TO TRUST?
[002:04:43;00] AND YET, SHE HAS GOT GUTS TO
[002:04:46;08] TALK ABOUT DONALD TRUMP.
[002:04:47;28] HE IS COMING IN.
[002:04:48;29] HE IS NOT AN EXPERIENCE
[002:04:53;05] D POLITICIAN.
[002:04:57;00] I WOULD RATHER HAVE SOMEBODY WHO
[002:04:57;22] IS NOT A POLITICIAN COME IN
[002:05:00;06] AND CLEAN UP WASHINGTON.
[002:05:03;01] I THINK DONALD TRUMP DID VERY
[002:05:04;15] WELL.
[002:05:04;24] HILLARY, YES.
[002:05:05;07] SHE WENT ON AND ON AND ON.
[002:05:08;01] DONALD TRUMP IS JUST COMING IN
[002:05:08;22] AS AN OUTSIDER.
[002:05:11;01] AND HE WAS VERY RESPECTFUL TO
[002:05:14;10] HILLARY.
[002:05:14;20] HE COULD'VE REALLY GOT ON HER
[002:05:17;10] BUT HE LOOKED AT HER DAUGHTER
[002:05:18;21] AND HE SHOWED RESPECT, BUT
[002:05:20;03] HILLARY DOES NOT SHOW RESPECT TO
[002:05:20;25] ANYBODY AND THIS IS THE PERSON
[002:05:21;21] SHE IS.
[002:05:24;03] SHE DOES NOT RESPECT ANYBODY.
[002:05:24;24] HOST: RITA, THANKS SO MUCH.
[002:05:28;04] ON TWITTER LUIS WRITES, TRUMP
[002:05:32;14] IS NOT FIT FOR THE POSITION OF
[002:05:35;16] THE PRESIDENT OF THE USA, MAYBE
[002:05:37;16] FOR WALMART, SAFEWAY OR
[002:05:39;14] WALGREENS.
[002:05:39;25] NEXT IS HELEN SUPPORTING
[002:05:42;18] HILLARY CLINTON.
[002:05:43;02] HI HELEN.
[002:05:44;17] CALLER: HI.
[002:05:49;08] I JUST WANT TO SAY I AM VERY
[002:05:49;28] PROUD WITH HILLARY CLINTON WITH
[002:05:52;18] A CLASSIC REPRESENTATION.
[002:05:53;07] WITH OUR NEEDS FOR AMERICA.
[002:05:55;08] HER SMILE IS MOST WELCOME AT
[002:05:57;22] THIS TIME WHEN WE NEED IT MORE
[002:05:59;26] THAN EVER.
[002:06:00;07] THANK YOU.
[002:06:00;27] HOST: THANK YOU FOR YOUR CALL.
[002:06:04;09] DAVE IS UP NEXT.
[002:06:05;23] HE IS WATCHING US IN MICHIGAN.
[002:06:07;10] WHO ARE YOU SUPPORTING QUESTION
[002:06:09;26] MARK HE CALLED IN ON OUR OTHER
[002:06:11;21] LINE.
[002:06:12;10] CALLER: I AM NOT SURE WHO I AM
[002:06:15;23] SUPPORTING AND THE DEBATE DID
[002:06:16;14] NOT HELP ONE WAY OR THE OTHER.
[002:06:19;23] I THINK THIS IS A GOOD EXAMPLE
[002:06:20;28] AS TO WHY WE NEED TO INCLUDE
[002:06:22;08] THIRD-PARTY CANDIDATES AFTER THE
[002:06:23;28] FIASCO WE JUST WATCHED.
[002:06:24;16] HOST: HOW DO YOU THINK THE
[002:06:25;28] MODERATION WENT?
[002:06:27;11] DID IT HELP YOU?
[002:06:31;12] WOULD YOU OFFER SUGGESTIONS
[002:06:32;02] ABOUT HOW A FUTURE DEBATE MIGHT
[002:06:32;25] BE BETTER INFORMATIVE?
[002:06:34;12] CALLER: I FEEL EVERYTHING THEY
[002:06:36;29] DISCUSSED WAS WHAT WE HAVE SEEN
[002:06:38;29] ON ALL THE NEWS CHANNELS FOR THE
[002:06:39;28] PAST YEAR, AND NOTHING NEW WAS
[002:06:42;02] BROUGHT TO THE TABLE.
